"Together.","182","15018","18.81","2022-12-09 06:26:11"
"Involve.","110","14533","44.69","2023-01-04 08:54:00"
"Good.","115","17359","74.36","2022-12-13 05:47:45"
"True.","145","18847","78.89","2023-01-03 05:07:43"
"In.","73","9089","21.54","2022-12-21 10:06:16"
"Then.","68","11799","93.96","2022-12-09 10:07:27"
"Soldier.","107","5456","21.99","2022-12-17 04:25:15"
"Mean.","196","15706","55.54","2022-12-28 05:13:09"
"Machine.","71","9990","96.11","2022-12-24 00:09:44"
"Until sit.","179","3401","69.48","2022-12-29 05:29:22"
"Language.","35","152","97.15","2022-12-26 05:58:14"
"Statement.","105","11741","73.95","2022-12-23 16:24:05"
"Effect.","120","3753","7.54","2022-12-07 11:09:05"
"Pressure.","56","8522","51.92","2022-12-26 12:23:05"
"Them less.","4","16615","49.89","2022-12-21 09:47:42"
"Try state.","16","6759","65.21","2022-12-26 00:46:21"
"Start.","164","19891","12.19","2022-12-15 23:06:48"
"Civil.","128","8701","85.61","2022-12-11 12:06:39"
"Tend cup.","181","8578","59.71","2022-12-30 14:29:00"
"Partner.","5","16127","65.91","2022-12-30 08:59:20"
"Build.","192","14451","41.34","2022-12-19 19:19:22"
"Receive.","68","8273","38.23","2022-12-30 01:18:42"
"Minute.","21","12899","0.37","2022-12-22 00:24:34"
"Table.","194","9418","3.77","2022-12-23 05:23:17"
"Dark.","34","16405","37.59","2022-12-07 07:48:57"
"Create.","96","15918","35.43","2023-01-04 02:43:40"
"Mission.","43","10758","72.68","2022-12-08 20:35:08"
"She three.","40","3894","37.15","2023-01-03 07:49:36"
"Far also.","56","3002","58.80","2022-12-06 23:08:04"
"Lay floor.","152","19313","39.47","2022-12-20 22:39:40"
"You.","190","11741","15.12","2022-12-24 01:49:40"
"One first.","150","8213","80.98","2022-12-29 15:17:08"
"Matter.","80","5510","56.19","2022-12-10 04:04:40"
"Fast.","156","13407","32.73","2023-01-01 16:40:21"
"Think.","106","9293","33.34","2023-01-04 23:59:25"
"Mention.","97","3156","9.73","2022-12-27 17:20:26"
"Yet.","66","10608","94.92","2022-12-20 20:00:02"
"Off none.","104","15826","26.49","2022-12-10 21:46:09"
"Agree.","197","6738","88.68","2022-12-07 11:00:25"
"Open.","183","14862","37.37","2023-01-05 02:26:08"
"Water two.","36","9542","22.39","2022-12-22 15:47:14"
"Attack.","92","15676","40.43","2022-12-30 21:09:10"
"Training.","9","18911","33.84","2022-12-08 05:13:53"
"Source.","143","822","26.58","2023-01-05 15:47:21"
"Message.","190","2316","3.76","2022-12-25 13:23:58"
"Cover.","117","15566","16.84","2022-12-20 09:52:22"
"Mission.","89","6802","56.22","2022-12-11 00:17:18"
"Matter.","129","11308","4.85","2022-12-11 08:19:02"
"Catch.","100","13717","74.55","2022-12-30 02:54:39"
"General.","123","16309","44.09","2023-01-04 20:24:15"
"Close.","85","11141","54.96","2022-12-31 13:52:56"
"My garden.","61","3431","48.47","2022-12-18 22:15:51"
"Personal.","3","9147","87.01","2022-12-08 11:55:02"
"Herself.","146","14379","7.32","2022-12-21 03:58:33"
"He.","122","6630","59.29","2022-12-10 18:51:00"
"Me.","81","9050","35.97","2022-12-23 17:55:22"
"Foot.","63","5897","51.08","2022-12-15 11:52:57"
"Often.","45","2302","81.09","2023-01-02 06:02:57"
"Real gun.","9","17931","73.41","2022-12-12 19:26:09"
"Prepare.","173","10146","36.83","2022-12-18 07:49:30"
"Not scene.","8","18386","89.39","2022-12-23 04:16:55"
"Why raise.","176","13155","1.70","2022-12-26 16:33:21"
"Stuff.","147","8531","27.41","2022-12-23 00:53:25"
"Song.","166","12445","85.54","2022-12-14 08:53:23"
"Himself.","118","3259","62.52","2022-12-15 09:08:44"
"Anything.","145","13787","67.37","2022-12-16 14:14:29"
"Major.","195","12366","50.53","2022-12-12 11:28:08"
"Room.","52","17764","20.86","2023-01-04 18:28:04"
"Win.","71","8593","50.97","2022-12-17 12:01:06"
"Officer.","31","19028","81.54","2022-12-10 05:49:35"
"Surface.","72","1012","74.73","2022-12-15 13:34:14"
"Case.","188","14076","30.44","2022-12-20 04:27:25"
"Blue.","85","1037","85.45","2022-12-30 02:55:48"
"Both.","108","14205","26.95","2022-12-14 14:38:18"
"Until.","13","2120","60.52","2023-01-02 09:03:21"
"Wide tree.","31","19926","77.49","2023-01-01 13:57:26"
"Shake.","112","6685","2.92","2022-12-18 20:58:26"
"Style.","6","8217","33.73","2022-12-24 17:37:53"
"Third.","1","12638","35.68","2023-01-01 13:38:00"
"Lead.","130","4659","22.99","2022-12-31 09:16:27"
"Short.","129","12501","26.44","2022-12-08 21:44:46"
"Expect.","60","13499","40.14","2022-12-23 01:15:08"
"Leg too.","40","6064","93.67","2022-12-28 16:26:22"
"Maybe.","144","6019","32.50","2022-12-26 04:58:46"
"Large.","57","2101","77.12","2023-01-02 03:57:39"
"Can six.","9","10524","85.97","2023-01-05 05:34:56"
"Could.","78","2318","38.94","2022-12-28 17:19:00"
"Less hot.","185","12696","30.18","2022-12-31 14:39:31"
"Town.","22","13002","35.58","2022-12-27 11:17:39"
"Room.","86","16194","25.48","2022-12-13 23:39:21"
